SGB,Sample1,Sample2
t__SGB15119,U6,Z7
t__SGB15119,U6,U7
t__SGB15119,U6,Z3
t__SGB15119,U6,Z4
t__SGB15119,U6,Z6
t__SGB15119,U6,Z10
t__SGB15119,U6,U9
t__SGB15119,U6,Z2
t__SGB15119,U6,Z12
t__SGB15119,U4,Z7
t__SGB15119,U4,Z3
t__SGB15119,U4,U6
t__SGB15119,U4,Z4
t__SGB15119,U4,Z10
t__SGB15119,U4,U9
t__SGB15119,U4,Z2
t__SGB15119,U4,Z12
t__SGB15119,Z4,Z7
t__SGB15119,Z4,Z5
t__SGB15119,U11,U6
t__SGB15119,U11,U4
t__SGB15119,U11,Z4
t__SGB15119,U11,Z5
t__SGB15119,U11,Z11
t__SGB15119,U11,U3
t__SGB15119,C12,Z4
t__SGB15119,C12,U11
t__SGB15119,C12,Z5
t__SGB15119,C12,Z11
t__SGB15119,C12,U3
t__SGB15119,Z11,Z5
t__SGB15119,C1,Z4
t__SGB15119,C1,U11
t__SGB15119,C1,C12
t__SGB15119,C1,Z5
t__SGB15119,C1,Z11
t__SGB15119,C1,U3
t__SGB15119,U3,Z7
t__SGB15119,U3,Z3
t__SGB15119,U3,U6
t__SGB15119,U3,U4
t__SGB15119,U3,Z4
t__SGB15119,U3,Z5
t__SGB15119,U3,Z11
t__SGB15119,U3,Z6
t__SGB15119,U3,Z10
t__SGB15119,U3,U9
t__SGB15119,U3,Z2
t__SGB15119,U3,Z12
t__SGB15119,C8,Z7
t__SGB15119,C8,Z3
t__SGB15119,C8,U6
t__SGB15119,C8,U4
t__SGB15119,C8,Z4
t__SGB15119,C8,U11
t__SGB15119,C8,U3
t__SGB15119,C8,Z6
t__SGB15119,C8,Z10
t__SGB15119,C8,U9
t__SGB15119,C8,Z2
t__SGB15119,C8,Z12
t__SGB15119,C7,Z8
t__SGB15119,Z10,Z7
t__SGB15119,Z10,Z3
t__SGB15119,Z10,Z2
t__SGB15119,Z10,Z12
t__SGB15119,C6,Z10
t__SGB15119,C5,U9
t__SGB15119,U9,Z7
t__SGB15119,U9,Z3
t__SGB15119,U9,Z10
t__SGB15119,U9,Z2
t__SGB15119,U9,Z12
t__SGB15119,C3,U9
t__SGB15119,Z2,Z7
t__SGB15119,U12,U5
t__SGB15119,C11,Z7
t__SGB15119,C11,Z3
t__SGB15119,C11,U6
t__SGB15119,C11,U4
t__SGB15119,C11,U3
t__SGB15119,C11,C8
t__SGB15119,C11,Z10
t__SGB15119,C11,U9
t__SGB15119,C11,Z2
t__SGB15119,C11,Z12
t__SGB15119,Z12,Z7
t__SGB15119,Z12,Z3
t__SGB15224,ERR14760436,ERR14760441
t__SGB15224,ERR14760441,ERR14760509
t__SGB15224,C8,Z12
t__SGB15234,U3,Z5
t__SGB15234,C11,U3
t__SGB15234,C11,Z5
t__SGB15234,ERR14760637,ERR14760648
t__SGB15234,C12,U5
t__SGB15234,Z4,Z5
t__SGB15234,ERR14760620,ERR14760847
t__SGB15234,U12,Z5
t__SGB15234,U4,Z5
t__SGB15234,C1,Z5
t__SGB15234,C1,U4
t__SGB15234,U7,Z5
t__SGB15234,U9,Z3
t__SGB15234,ERR14760644,ERR14760810
t__SGB15234,U6,Z5
t__SGB15234,C7,U3
t__SGB15234,C7,Z5
t__SGB15235,U5,Z4
